Season,Episode,Title,IMDB,IMDB2,Ranking
11,1,Chardee MacDennis 2: Electric Boogaloo,tt4463974,,118
11,4,Dee Made a Smut Film,tt4463976,,119
11,6,Being Frank,tt4463962,,120
11,7,McPoyle vs. Ponderosa: The Trial of the Century,tt4463990,,121
11,8,Charlie Catches a Leprechaun,tt4463970,,122
11,5,Mac & Dennis Move to the Suburbs,tt4359300,,123
12,2,The Gang Goes to a Water Park,tt4463994,,124
12,3,Old Lady House: A Situation Comedy,tt4463998,,125
12,5,Making Dennis Reynolds a Murderer,tt4464004,,126
12,10,Dennis' Double Life,tt4359302,,127
13,1,The Gang Makes Paddy's Great Again,tt5599480,,128
13,2,The Gang Escapes,tt6362480,,129
13,3,The Gang Beats Boggs: Ladies Reboot,tt6362482,,130
12,9,A Cricket's Tale,tt4464060,,131
10,3,Psycho Pete Returns,tt3743344,,132
7,5,Frank's Brother,tt1962887,,133
